Date,Description,Amount,Category,Partner
2024-08-15,Dinner at Romano's Italian,-78.45,Food & Dining,Alex
2024-08-14,Home Depot - Garden Supplies,-156.78,Home Improvement,Joint
2024-08-13,Target - Household Items,-89.23,Shopping,Sam
2024-08-12,Costco Grocery Run,-234.56,Groceries,Joint
2024-08-11,Date Night - Movies & Dinner,-67.89,Entertainment,Alex
2024-08-10,Gas - Exxon Station,-52.34,Transportation,Sam
2024-08-09,Vet Visit - Pet Care,-189.00,Pet Care,Joint
2024-08-08,Wine Store - Anniversary,-95.67,Food & Dining,Joint
2024-08-07,Clothing - Old Navy,-67.45,Shopping,Alex
2024-08-06,Car Maintenance - Oil Change,-45.99,Transportation,Sam
2024-08-05,Pharmacy - Prescriptions,-34.78,Health & Fitness,Joint
2024-08-04,Streaming Services - Netflix,-15.99,Entertainment,Joint
2024-08-03,Coffee Date - Starbucks,-12.67,Food & Dining,Alex
2024-08-02,Gym Membership - Couple's Plan,-89.99,Health & Fitness,Joint
2024-08-01,Rent Payment,-2500.00,Housing,Joint
