Date,Description,Amount,Category,Account
2024-08-15,Starbucks Coffee #1234,-5.47,Food & Dining,Chase Checking
2024-08-15,Grocery Store - Whole Foods,-89.32,Groceries,Chase Checking
2024-08-14,Gas Station - Shell,-45.20,Transportation,Chase Checking
2024-08-14,Amazon Purchase,-67.89,Shopping,Chase Checking
2024-08-13,Restaurant - Olive Garden,-56.78,Food & Dining,Chase Checking
2024-08-13,Electric Bill - ConEd,-125.43,Bills & Utilities,Chase Checking
2024-08-12,ATM Withdrawal,-100.00,Cash,Chase Checking
2024-08-12,Gym Membership - Planet Fitness,-29.99,Health & Fitness,Chase Checking
2024-08-11,Movie Theater - AMC,-34.50,Entertainment,Chase Checking
2024-08-11,Pharmacy - CVS,-23.45,Health & Fitness,Chase Checking
2024-08-10,Coffee Shop - Local Cafe,-4.25,Food & Dining,Chase Checking
2024-08-10,Uber Ride,-18.75,Transportation,Chase Checking
2024-08-09,Bookstore - Barnes & Noble,-45.67,Shopping,Chase Checking
2024-08-09,Internet Bill - Comcast,-79.99,Bills & Utilities,Chase Checking
2024-08-08,Lunch - Subway,-12.89,Food & Dining,Chase Checking
